"TimeCreated","Component","ErrorType","ProcessorApicId","Message"
"2025-12-06 20:37:44","Processor Core","Internal parity error","0","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 0  The details view of this entry contains further information."
"2025-12-06 20:48:35","Processor Core","Translation Lookaside Buffer Error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Translation Lookaside Buffer Error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-07 04:32:40","Processor Core","Translation Lookaside Buffer Error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Translation Lookaside Buffer Error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-07 05:44:18","Processor Core","Internal parity error","0","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 0  The details view of this entry contains further information."
"2025-12-07 15:40:26","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-07 16:22:30","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-07 18:08:44","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-07 19:40:49","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-08 23:38:44","Processor Core","Internal parity error","0","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 0  The details view of this entry contains further information."
"2025-12-09 00:16:25","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-09 00:52:35","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-09 01:18:48","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-09 04:08:25","Processor Core","Translation Lookaside Buffer Error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Translation Lookaside Buffer Error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-23 23:23:10","Processor Core","Translation Lookaside Buffer Error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Translation Lookaside Buffer Error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-24 01:01:31","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-24 01:26:53","Processor Core","Internal parity error","0","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 0  The details view of this entry contains further information."
"2025-12-24 04:43:21","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-25 08:41:11","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-25 08:41:17","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-25 09:09:13","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-25 09:09:13","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-25 09:31:23","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-25 09:37:07","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-25 10:27:27","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-25 10:35:20","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 05:31:32","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 05:33:17","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 05:33:28","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 05:35:30","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 05:35:30","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 05:35:30","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 05:35:30","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 05:35:30","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 05:35:30","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 05:35:30","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 05:35:30","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 05:35:31","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 05:35:31","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 05:35:31","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 05:35:31","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 05:47:16","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:13","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:13","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:03:13","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:27:10","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:35:10","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:35:10","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:35:10","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:35:10","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:35:10","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:35:10","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:35:10","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:35:10","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:39:18","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:39:18","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:39:18","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:39:18","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:39:18","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:39:18","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:39:18","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:39:18","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:39:19","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:41:20","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:45:23","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:49:22","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:55:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:55:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:55:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:55:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:55:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:55:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
"2025-12-26 06:55:12","Processor Core","Internal parity error","1","A corrected hardware error has occurred.  Reported by component: Processor Core Error Source: Corrected Machine Check Error Type: Internal parity error Processor APIC ID: 1  The details view of this entry contains further information."
